Feature ID,Name,Source Tables,Definition,Type,Missing Handling,Temporal Safety,Notes
NUM006,invoice_due_lag_days,invoices,due_date minus invoice_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM007,invoice_received_delay_days,invoices,received_date minus invoice_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM008,invoice_line_count,invoice_lines,Count of representative invoice lines,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM009,invoice_line_quantity_sum,invoice_lines,Sum of parseable invoice-line quantities,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM010,invoice_line_amount_sum,invoice_lines,Sum of parseable invoice-line amounts,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM011,invoice_line_unit_price_mean,invoice_lines,Mean parseable invoice-line unit price,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM012,po_total,purchase_orders,Linked PO total,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM013,po_subtotal,purchase_orders,Linked PO subtotal,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM014,po_tax,purchase_orders,Linked PO tax,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM015,po_shipping,purchase_orders,Linked PO shipping,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM016,po_age_calendar_days,purchase_orders,AS_OF_DATE minus po_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM017,po_line_count,po_lines,Count of linked PO lines,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM018,po_line_quantity_sum,po_lines,Sum of parseable PO-line quantities,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM019,po_line_amount_sum,po_lines,Sum of parseable PO-line amounts,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM020,payment_amount,payments,Representative payment amount,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM021,payment_age_calendar_days,payments,AS_OF_DATE minus payment_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM022,allocation_count,payment_allocations,Count of allocations in scoped payment/invoice relationships,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM023,allocated_amount_sum,payment_allocations,Sum of parseable scoped allocations,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM024,linked_invoice_count,payment_allocations;invoices,Distinct existing linked invoices,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM025,linked_invoice_total_sum,payment_allocations;invoices,Sum of totals for distinct linked invoices,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM026,linked_payment_count,payment_allocations;payments,Distinct existing linked payments,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM027,bank_amount,bank_transactions,Representative posted bank transaction amount,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM028,bank_age_calendar_days,bank_transactions,AS_OF_DATE minus bank posted_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM029,bank_reference_match_count,payments;bank_transactions,Bank rows sharing normalized representative payment reference,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM030,gl_line_count,payments;gl_entries,Count of source-linked GL lines,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM031,gl_journal_count,payments;gl_entries,Distinct source-linked journal count,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM032,gl_total_debit,gl_entries,Sum debit across source-linked GL rows,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM033,gl_total_credit,gl_entries,Sum credit across source-linked GL rows,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM034,gl_ap_debit,gl_entries,Debit on exact AP control account across source-linked rows,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM035,gl_cash_credit,gl_entries,Credit on exact cash control account across source-linked rows,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM036,approval_event_count,approval_events,Count of scoped approval events,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM037,approval_effective_count,approval_events,APPROVED/AUTO_APPROVED events at/before payment creation,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM038,approval_max_level,approval_events,Maximum parseable effective approval level,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM039,approval_distinct_role_count,approval_events,Distinct normalized roles on effective approval events,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM040,approval_missing_employee_actor_count,approval_events;employees,Human effective approval actors without employee row,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM041,vendor_change_count,vendor_change_log,Bank-account-token change count for scoped vendor,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM042,vendor_change_before_payment_count,vendor_change_log;payments,Bank-token changes at/before payment creation,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM043,vendor_name_length,vendors,Unicode character length after NFKC/whitespace normalization,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM044,vendor_name_token_count,vendors,Whitespace token count after NFKC normalization,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM045,duplicate_same_vendor_count,invoices,Other active positive invoices with same vendor,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM046,duplicate_exact_reference_count,invoices,Same-vendor invoices with equal normalized reference,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM047,duplicate_best_reference_similarity,invoices,Maximum normalized Levenshtein similarity to same-vendor invoice,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM048,duplicate_min_date_gap_days,invoices,Minimum absolute invoice-date gap to same-vendor invoice,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM049,duplicate_min_amount_gap,invoices,Minimum absolute total gap to same-vendor same-currency invoice,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM050,bank_fee_debit_total,bank_transactions;gl_entries,Debit total of source-linked BANK_FEE journals,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM051,fx_journal_count,bank_transactions;gl_entries,Distinct source-linked FX_SETTLEMENT journals,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM052,fx_event_count,bank_transactions;audit_log,FX_CONVERSION_APPLIED events through AS_OF_DATE,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM053,payment_reference_use_count,payments,Payments sharing normalized representative reference,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM054,bank_economic_candidate_count,payments;bank_transactions,"Posted bank rows with same currency/token, amount within quantum, and date within 7 days",numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
DIF001,invoice_po_total_abs_diff,invoices;purchase_orders,abs(invoice_total-po_total),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF002,invoice_po_total_rel_diff,invoices;purchase_orders,"abs(invoice_total-po_total)/max(abs(po_total),0.01)",numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF003,invoice_po_tax_abs_diff,invoices;purchase_orders,abs(invoice_tax-po_tax),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF004,invoice_po_shipping_abs_diff,invoices;purchase_orders,abs(invoice_shipping-po_shipping),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF005,invoice_po_line_amount_abs_diff,invoice_lines;po_lines,abs(sum(invoice lines)-sum(PO lines)),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF006,invoice_po_line_quantity_abs_diff,invoice_lines;po_lines,abs(sum(invoice quantities)-sum(PO quantities)),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF007,payment_allocated_abs_diff,payments;payment_allocations,abs(payment_amount-sum(allocations)),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF008,payment_allocated_rel_diff,payments;payment_allocations,"absolute payment/allocation difference divided by max(abs(payment_amount),0.01)",numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF009,invoice_paid_abs_diff,invoices;payment_allocations;payments,abs(invoice_total-effective allocated sum),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF010,invoice_paid_rel_diff,invoices;payment_allocations;payments,"absolute invoice/effective-paid difference divided by max(abs(invoice_total),0.01)",numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF011,payment_bank_abs_diff,payments;bank_transactions,abs(payment_amount-representative bank amount),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF012,payment_bank_rel_diff,payments;bank_transactions,"absolute payment/bank difference divided by max(abs(payment_amount),0.01)",numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF013,gl_balance_abs_diff,gl_entries,abs(total debit-total credit),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF014,payment_ap_debit_abs_diff,payments;gl_entries,abs(payment_amount-AP debit),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF015,payment_cash_credit_abs_diff,payments;gl_entries,abs(payment_amount-cash credit),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF016,bank_fee_adjusted_abs_diff,payments;bank_transactions;gl_entries,abs(abs(payment-bank amount)-linked fee debit),numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF017,days_po_to_invoice,purchase_orders;invoices,invoice_date-po_date in calendar days,numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF018,days_invoice_to_payment,invoices;payments,payment_date-invoice_date in calendar days,numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF019,days_payment_to_bank,payments;bank_transactions,bank transaction_date-payment_date in calendar days,numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
DIF020,minutes_final_approval_to_payment,approval_events;payments,payment created_at-final effective approval timestamp in minutes,numeric,Training median plus missingness features,Only delivered/as-of rows; approval event <= payment creation,Relative denominator floor is 0.01
MAT001,invoice_has_po,invoices,1 when po_id is nonempty,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT002,po_found,invoices;purchase_orders,1 when linked PO exists,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT003,invoice_po_vendor_match,invoices;purchase_orders,Trimmed case-sensitive vendor IDs equal,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT004,invoice_po_currency_match,invoices;purchase_orders,Normalized currencies equal,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT005,all_invoice_lines_po_linked,invoice_lines;po_lines,All nonempty invoice-line PO references resolve,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT006,any_invoice_line_missing_po_target,invoice_lines;po_lines,Any nonempty invoice-line PO reference is unresolved,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT007,invoice_po_quantities_all_equal,invoice_lines;po_lines,All resolved line quantities are exactly equal integers,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT008,payment_has_allocations,payments;payment_allocations,At least one allocation exists,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT009,allocations_all_invoices_found,payment_allocations;invoices,Every scoped allocation references an existing invoice,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT010,payment_invoice_currency_all_match,payments;invoices,All scoped payment/invoice currencies equal,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT011,payment_invoice_vendor_all_match,payments;invoices,All scoped payment/invoice vendor IDs equal,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT012,payment_reference_present,payments,Normalized payment reference is nonempty,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT013,payment_reference_unique,payments,Normalized representative payment reference occurs once,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT014,bank_reference_match_found,payments;bank_transactions,At least one bank row has normalized payment reference,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT015,bank_reference_match_unique,payments;bank_transactions,Exactly one bank row has normalized payment reference,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT016,payment_bank_currency_match,payments;bank_transactions,Representative payment/bank currencies equal,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT017,payment_bank_token_match,payments;bank_transactions,Payment destination token equals bank counterparty token,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT018,gl_source_found,payments;gl_entries,At least one source-linked GL row exists,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT019,gl_currency_all_match,payments;gl_entries,All source-linked GL currencies equal payment currency,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT020,gl_period_all_match_payment_month,payments;gl_entries,All source-linked GL periods/posting months equal payment month,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT021,vendor_current_token_match,payments;vendors,Payment destination token equals current vendor token,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT022,vendor_bank_history_present,vendor_change_log,At least one bank-account-token history row exists,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT023,final_approver_employee_found,approval_events;employees,Latest effective human approver has employee row; auto is missing,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT024,final_approver_active,approval_events;employees,Latest effective human employee is active,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT025,final_approver_role_match,approval_events;employees,Latest event role equals employee role,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MAT026,invoice_reference_present,invoices,Normalized invoice number is nonempty,binary,"-1 unknown, 0 false, 1 true",Delivered/as-of evidence only,"IDs/tokens are used only for equality, never retained"
MIS001,missing_invoice,invoices,No representative scoped invoice,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS002,missing_po,purchase_orders,Invoice declares PO but target is absent,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS003,missing_vendor,vendors,Representative scoped vendor row absent,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS004,missing_payment,payments,No representative scoped payment,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS005,missing_bank_transaction,bank_transactions,No representative as-of bank row,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS006,missing_gl,gl_entries,No source-linked GL row,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS007,missing_approval,approval_events,No scoped approval event,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS008,missing_employee,employees,A relied-upon human approval actor has no employee row,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS009,missing_reference,invoices;payments;bank_transactions,Representative invoice/payment reference absent,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS010,missing_currency,invoices;payments;bank_transactions,Representative economic currency absent,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS011,missing_amount,invoices;payments;bank_transactions,Representative economic amount absent/unparseable,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS012,missing_invoice_lines,invoice_lines,Representative invoice has zero lines,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS013,missing_po_lines,po_lines,Declared/found PO has zero lines,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS014,missing_allocations,payment_allocations,Representative payment/invoice scope has zero allocations,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
MIS015,missing_vendor_change_history,vendor_change_log,Scoped vendor has zero bank-token history rows,binary,Always observed 0/1,Missingness derives only from model-visible snapshot,No annotation-package missingness is used
REL001,scope_invoice_count,invoices;payment_allocations,Distinct invoices reachable from primary via permitted direct relationships.,numeric,0,Delivered snapshot,
REL002,scope_payment_count,payments;payment_allocations,Distinct payments reachable from primary via permitted direct relationships.,numeric,0,Delivered snapshot,
REL003,scope_bank_count,payments;bank_transactions,Distinct as-of bank rows reachable by normalized reference.,numeric,0,Bank posted_date <= AS_OF_DATE,
REL004,scope_distinct_invoice_vendor_count,invoices,Distinct nonmissing vendor IDs among scoped invoices.,numeric,0,Delivered snapshot,Raw IDs are discarded
REL005,scope_distinct_payment_vendor_count,payments,Distinct nonmissing vendor IDs among scoped payments.,numeric,0,Delivered snapshot,Raw IDs are discarded
