case_id,actual_failure_type,predicted_failure_type,status,tier,hop_count,primary_cause,secondary_causes,expected_rule_trace_status,selected_reason
RCA_001587,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422760 has 0 economic candidates.
RCA_001594,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425621 has 0 economic candidates.
RCA_001625,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424548 has 0 economic candidates.
RCA_001629,NO_FAILURE,F10_WRONG_ACCOUNTING_PERIOD,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Payment PAY_0422423 date 2025-09-29 requires period 2025-09; observed journal line posting dates/periods [('JEL_0458519', '2025-10-01', '2025-10'), ('JEL_0458520', '2025-10-01', '2025-10')]."
RCA_001644,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0423389 token BA_TKN_042_0000252 differs from effective token BA_TKN_SUPERSEDED_0000113, but no decisive transition establishes that relationship."
RCA_001651,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0421844 has 0 economic candidates.
RCA_001657,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425010 has 0 economic candidates.
RCA_001658,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425615 has 0 economic candidates.
RCA_001667,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0421293 has 0 economic candidates.
RCA_001677,NO_FAILURE,F15_INCORRECT_PAYMENT_BANK_MATCH,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Reciprocal cross-match: current reference pairs [('BT_0425917', 'PAY_0425856'), ('BT_0425919', 'PAY_0425854')], unique economic pairs [('BT_0425917', 'PAY_0425854'), ('BT_0425919', 'PAY_0425856')], payment amounts [('PAY_0425854', '5841.98'), ('PAY_0425856', '6545.73')], bank counterparty tokens [('BT_0425917', 'BA_TKN_042_0000100'), ('BT_0425919', 'BA_TKN_042_0000100')]."
RCA_001685,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Invoice INV_0427290 status PAID has total 3422.67 USD, effective net paid 2053.60, and residual 1369.07."
RCA_001689,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424639 has 0 economic candidates.
RCA_001699,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425613 has 0 economic candidates.
RCA_001707,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0425878 token BA_TKN_042_0000100 differs from effective token BA_TKN_SUPERSEDED_0000070, but no decisive transition establishes that relationship."
RCA_001709,NO_FAILURE,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Payment PAY_0424969 at 2026-05-01T08:00:00 used stale token BA_TKN_SUPERSEDED_0000046 instead of effective token BA_TKN_042_0000097; bank counterparty BA_TKN_SUPERSEDED_0000046, bank status RETURNED, settlement FAILED."
RCA_001754,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0423711 has 0 economic candidates.
RCA_001765,NO_FAILURE,F08_APPROVAL_WORKFLOW_FAILURE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,Payment PAY_0420692 released invoice INV_0425715 requiring roles ['MANAGER']; observed pre-release roles/levels are [] and required role MANAGER is missing or out of order.
RCA_001770,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0423240 has 0 economic candidates.
RCA_001785,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0423507 has 0 economic candidates.
RCA_001798,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424910 has 0 economic candidates.
RCA_001811,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424368 has 0 economic candidates.
RCA_001814,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422883 has 0 economic candidates.
RCA_001827,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0420564 has 0 economic candidates.
RCA_001829,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,Invoice INV_0421680 is marked PAID but has zero effective allocations; F07 requires a positive partial payment. Payment PAY_0422722 reference PMTREF0000002764 has 0 qualifying non-fee posted bank debit(s); exactly one is required. F15 candidate evidence is missing or ambiguous: payment PAY_0422722 has no unique reference/economic bank candidate.
RCA_001839,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0423814 token BA_TKN_042_0000464 differs from effective token BA_TKN_SUPERSEDED_0000050, but no decisive transition establishes that relationship."
RCA_001846,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0420076 has 0 economic candidates.
RCA_001850,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0421917 has 0 economic candidates.
RCA_001856,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0424944 token BA_TKN_042_0000097 differs from effective token BA_TKN_SUPERSEDED_0000046, but no decisive transition establishes that relationship."
RCA_001862,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0421698 token BA_TKN_042_0000248 differs from effective token BA_TKN_SUPERSEDED_0000089, but no decisive transition establishes that relationship. F15 candidate evidence is missing or ambiguous: bank BT_0421711 has 0 economic candidates."
RCA_001865,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422920 has 0 economic candidates.
RCA_001881,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0422968 token BA_TKN_042_0000248 differs from effective token BA_TKN_SUPERSEDED_0000089, but no decisive transition establishes that relationship. F15 candidate evidence is missing or ambiguous: bank BT_0422995 has 0 economic candidates."
RCA_001894,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425983 has 0 economic candidates.
RCA_001897,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0423850 token BA_TKN_042_0000248 differs from effective token BA_TKN_SUPERSEDED_0000089, but no decisive transition establishes that relationship. F15 candidate evidence is missing or ambiguous: bank BT_0423888 has 0 economic candidates."
RCA_001910,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0423479 has 0 economic candidates.
RCA_001913,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425908 has 0 economic candidates.
RCA_001914,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424929 has 0 economic candidates.
RCA_001942,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0424087 token BA_TKN_042_0000127 differs from effective token BA_TKN_SUPERSEDED_0000060, but no decisive transition establishes that relationship. F15 candidate evidence is missing or ambiguous: bank BT_0424128 has 0 economic candidates."
RCA_001974,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0423477 token BA_TKN_042_0000127 differs from effective token BA_TKN_SUPERSEDED_0000060, but no decisive transition establishes that relationship. F15 candidate evidence is missing or ambiguous: bank BT_0423512 has 0 economic candidates."
RCA_001995,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0420830 has 2 economic candidates; bank BT_0420831 has 2 economic candidates; bank BT_0424564 has 2 economic candidates; bank BT_0424565 has 2 economic candidates.
RCA_002003,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0424418 has 0 economic candidates.
RCA_002005,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Invoice INV_0425716 status PAID has total 14070.33 USD, effective net paid 8442.20, and residual 5628.13."
RCA_002051,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422900 has 0 economic candidates.
RCA_002074,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422599 has 0 economic candidates.
RCA_002086,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422512 has 0 economic candidates.
RCA_002093,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425983 has 0 economic candidates.
RCA_002117,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Invoice INV_0427411 status PAID has total 1475.24 EUR, effective net paid 590.10, and residual 885.14."
RCA_002134,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0421779 has 0 economic candidates.
RCA_002138,NO_FAILURE,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Payment PAY_0423252 at 2025-07-09T08:00:00 used stale token BA_TKN_SUPERSEDED_0000060 instead of effective token BA_TKN_042_0000127; bank counterparty BA_TKN_SUPERSEDED_0000060, bank status RETURNED, settlement FAILED."
RCA_002144,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0421831 token BA_TKN_042_0000248 differs from effective token BA_TKN_SUPERSEDED_0000089, but no decisive transition establishes that relationship."
RCA_002159,NO_FAILURE,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Payment PAY_0423252 at 2025-07-09T08:00:00 used stale token BA_TKN_SUPERSEDED_0000060 instead of effective token BA_TKN_042_0000127; bank counterparty BA_TKN_SUPERSEDED_0000060, bank status RETURNED, settlement FAILED."
RCA_002163,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0424869 token BA_TKN_042_0000329 differs from effective token BA_TKN_SUPERSEDED_0000118, but no decisive transition establishes that relationship."
RCA_002169,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425994 has 0 economic candidates.
RCA_002170,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0423432 has 0 economic candidates.
RCA_002201,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0425993 has 0 economic candidates.
RCA_002208,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0420830 has 2 economic candidates; bank BT_0420831 has 2 economic candidates; bank BT_0424564 has 2 economic candidates; bank BT_0424565 has 2 economic candidates.
RCA_002245,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Invoice INV_0427712 status PAID has total 4170.95 USD, effective net paid 1668.38, and residual 2502.57."
